target_id,page_url,status,error_message,lighthouse_performance_score,lighthouse_first_contentful_paint_ms,lighthouse_largest_contentful_paint_ms,lighthouse_speed_index_ms,severity,rule_id,description,help_url,impacted_criteria,selector,html_snippet,failure_summary,suspicious_alt_value,suspicious_alt_html
hhs-gov,https://www.hhs.gov/regulations/find-rules-by-operating-division.html,COMPLETED,,62,1630,1780,2335,serious,html-has-lang,Ensure every HTML document has a lang attribute,https://dequeuniversity.com/rules/axe/4.11/html-has-lang?application=playwright,wcag2a; wcag311,html,<html>,"Fix any of the following:
  The <html> element does not have a lang attribute",,
hhs-gov,https://www.hhs.gov/web/section-508/os-accessibility-services/index.html,COMPLETED,,61,1699,2825,2246,serious,html-has-lang,Ensure every HTML document has a lang attribute,https://dequeuniversity.com/rules/axe/4.11/html-has-lang?application=playwright,wcag2a; wcag311,html,<html>,"Fix any of the following:
  The <html> element does not have a lang attribute",,
hhs-gov,https://www.hhs.gov/web/section-508/os-accessibility-services/conformance-review-acceptance-criteria/index.html,COMPLETED,Page scan exceeded strict 120s limit and was cancelled.,89,1745,2420,2867,,,,,,,,,,
hhs-gov,https://www.hhs.gov/web/section-508/os-accessibility-services/os-digital-accessibility-conformance-methods-and-baseline/index.html,COMPLETED,Page scan exceeded strict 120s limit and was cancelled.,73,1706,1856,2047,,,,,,,,,,
hhs-gov,https://www.hhs.gov/web/governance/digital-strategy/it-policy-archive/hhs-policy-section-508-compliance-accessibility-information-communications-technology.html,COMPLETED,Page scan exceeded strict 120s limit and was cancelled.,67,1693,2143,2248,,,,,,,,,,
