target_id,page_url,status,error_message,lighthouse_performance_score,lighthouse_first_contentful_paint_ms,lighthouse_largest_contentful_paint_ms,lighthouse_speed_index_ms,severity,rule_id,description,help_url,impacted_criteria,selector,html_snippet,failure_summary,suspicious_alt_value,suspicious_alt_html
cdc-gov,https://www.cdc.gov/about/cdc-moving-forward/newcdc-info.html,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
cdc-gov,https://www.cdc.gov/museum/accessibility.htm,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
cdc-gov,https://www.cdc.gov/other/accessibility.html,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
cdc-gov,https://www.cdc.gov/search/index.html,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
