target_id,page_url,status,error_message,lighthouse_performance_score,lighthouse_first_contentful_paint_ms,lighthouse_largest_contentful_paint_ms,lighthouse_speed_index_ms,severity,rule_id,description,help_url,impacted_criteria,selector,html_snippet,failure_summary,suspicious_alt_value,suspicious_alt_html
medicaid-gov,https://www.medicaid.gov/faq,FAILED,"page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.medicaid.gov/faq
Call log:
[2m  - navigating to ""https://www.medicaid.gov/faq"", waiting until ""networkidle""[22m
",n/a,n/a,n/a,n/a,,,,,,,,,,
medicaid-gov,https://www.medicaid.gov/eligibility,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
medicaid-gov,https://www.medicaid.gov/resources-for-states/eligibility-enrollment-and-renewal-tools-and-resources,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
