target_id,page_url,status,error_message,lighthouse_performance_score,lighthouse_first_contentful_paint_ms,lighthouse_largest_contentful_paint_ms,lighthouse_speed_index_ms,severity,rule_id,description,help_url,impacted_criteria,selector,html_snippet,failure_summary,suspicious_alt_value,suspicious_alt_html
nih-gov,https://www.nih.gov/about-nih/impact-nih-research/improving-health,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
nih-gov,https://www.nih.gov/about-nih/nih-almanac/chronology-events,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
nih-gov,https://www.nih.gov/research-training/safety-regulation-guidance,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
nih-gov,https://www.nih.gov/advancing-mecfs-research/announcements/nih-request-information-mecfs-research-efforts,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
nih-gov,https://www.nih.gov/regenerative-medicine-innovation-project-rmip/funding-opportunities,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
