target_id,page_url,status,error_message,lighthouse_performance_score,lighthouse_first_contentful_paint_ms,lighthouse_largest_contentful_paint_ms,lighthouse_speed_index_ms,severity,rule_id,description,help_url,impacted_criteria,selector,html_snippet,failure_summary,suspicious_alt_value,suspicious_alt_html
cms-gov,https://www.cms.gov/data-research/cms-information-technology/section-508-and-cms/accessibility-cmsgov,COMPLETED,,53,4442,11333,6442,moderate,suspicious-alt-text,Suspicious or missing alternative text pattern detected.,,,,,,HHS Logo,"<img alt=""HHS Logo"" class=""footer-hhs"" height=""64"" src=""/themes/custom/cms_evo/images/hhslogo.png"" typeof=""foaf:Image"" width=""52"">"
cms-gov,https://www.cms.gov/digital-service,COMPLETED,Page scan exceeded strict 120s limit and was cancelled.,62,4460,7672,4742,,,,,,,,,,
cms-gov,https://www.cms.gov/digital-service/digital-accessibility,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
cms-gov,https://www.cms.gov/digital-service/findsupportgov,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
