target_id,page_url,status,error_message,lighthouse_performance_score,lighthouse_first_contentful_paint_ms,lighthouse_largest_contentful_paint_ms,lighthouse_speed_index_ms,severity,rule_id,description,help_url,impacted_criteria,selector,html_snippet,failure_summary,suspicious_alt_value,suspicious_alt_html
health-gov,https://www.health.gov/careers,COMPLETED,Page scan exceeded strict 120s limit and was cancelled.,57,4598,17212,7474,,,,,,,,,,
health-gov,https://www.health.gov/careers/current-job-opportunities,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
health-gov,https://www.health.gov/careers/future-job-opportunities,COMPLETED,Page scan exceeded strict 120s limit and was cancelled.,66,2945,10634,4074,,,,,,,,,,
health-gov,https://www.health.gov/careers/how-apply-jobs-oash,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
health-gov,https://www.health.gov/careers/pathways-program,TIMEOUT,Page scan exceeded strict 120s limit and was cancelled.,n/a,n/a,n/a,n/a,,,,,,,,,,
